N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,69.58353868,82.00274423,6.502985292000001,202.9355362,rice
85,58,41,71.18683104,80.31964408,7.038096361,226.6555374,rice
60,55,44,73.40802647,82.3207629,7.840207144,263.9642476,rice
74,35,40,79.68397343,80.15836264,6.980400905,242.8640342,rice
78,42,42,68.23431468,81.60487287,7.628472891,262.7173405,rice
69,37,42,73.5044877,83.37011772,7.073453503,251.0549998,rice
69,55,38,72.87590836,82.63941394,5.70080568,271.3248604,rice
94,53,40,68.49993852,82.89408619,5.718627177999999,241.9741949,rice
89,54,38,76.12858519,83.53521629999999,6.685346424,230.4462359,rice
68,58,38,73.80315295,83.03322691,6.336253525,221.2091958,rice
91,53,40,79.74902323,81.41753846,5.386167788,264.6148697,rice
90,46,42,75.16216791,81.45061596,7.50283396,250.0832336,rice
78,58,44,80.24143287,80.88684822,5.108681786,284.4364567,rice
93,56,36,75.2269572,82.05687182,6.98435366,185.2773389,rice
94,50,37,78.19853369,80.66385045,6.94801983,209.5869708,rice
60,48,39,75.70776947,80.30025587,7.0422990689999985,231.0863347,rice
85,38,41,70.85681199,82.7883708,6.2490506560000005,276.65524589999995,rice
91,35,39,74.82905523,80.41817957,6.970859754,206.2611855,rice
77,38,36,71.35745432,80.1923008,5.953933276,224.55501690000003,rice
88,35,40,74.44298527,83.58760316,5.85393208,291.2986618000001,rice
89,45,36,70.38507484,80.47476396,6.442475375,185.4974732,rice
76,40,43,77.28341956,83.11713476,5.070175667,231.3843163,rice
67,59,41,71.50580123,80.97384195,6.012632591,213.3560921,rice
83,41,43,69.8945639,82.67839517,6.254028451,233.1075816,rice
98,47,37,74.27086419,81.33265073,7.375482851,224.0581164,rice
66,53,41,77.13614372,80.52389148,7.778915154,257.0038865,rice
97,59,43,79.44668886,84.04403589,6.2865001760000006,271.35861370000003,rice
97,50,41,76.15260826,80.54498576,7.070959995,260.2634026,rice
60,49,44,69.39637065,84.49774397,6.244841491,240.0810647,rice
84,51,35,72.14283369,80.64416466,6.043304899,197.9791215,rice
73,57,41,70.60377124,84.94375962,5.824709117,272.2017204,rice
92,35,40,71.92277398,80.33127223,6.3573893660000005,200.0882787,rice
85,37,39,76.15010736,82.73685569,6.364134967999999,224.67572310000003,rice
98,53,38,68.48073691,81.63895217,5.01450727,270.4417274,rice
88,54,44,78.32377274,83.88266234,6.149410611,233.1321372,rice
95,55,42,80.23161067,82.1480873,5.950660556,193.3473987,rice
99,57,35,80.16357508,81.17734011,5.960370061,272.29990560000005,rice
95,39,36,74.95394841,83.15250801,5.561398642,285.2493645,rice
60,43,44,69.83500453,82.95221726,7.416245107000001,298.40184710000005,rice
63,44,41,75.5113791,83.7287574,5.583370042,257.0343554,rice
62,42,36,73.00640869,82.06719137,6.430010215,248.7183228,rice
64,45,43,78.13364189,83.52842314,5.534878156,209.9001977,rice
83,60,36,78.07468888,80.14509262,6.903985986,200.834898,rice
82,40,40,74.89521493,84.81360127,6.271478837999999,298.5601175,rice
85,52,45,79.36439896,82.36698992,7.224285503,265.5355937,rice
91,35,38,76.81510814,80.52586088,6.13428721,183.6793207,rice
76,49,42,76.9258022,84.47963372,5.206373153,196.95600080000003,rice
74,39,38,73.83404302,84.59201843,7.782051312999999,233.0453455,rice
79,43,39,70.99930933,80.70960551,7.062779015,210.8142087,rice
88,55,45,76.34380744,80.41363018,7.730367824,253.7202781,rice
60,36,43,74.17619352,83.06310136,5.286203711000001,219.9048349,rice
76,60,39,68.08174556,80.3477562,6.766240045,208.5810155,rice
93,56,42,74.94303258,82.22572988,7.382762603,195.0948311,rice
65,60,43,71.54958915,81.89918197,5.658169482000001,227.3637009,rice
95,52,36,79.21250415,83.83625819,5.543360237999999,286.5083725,rice
75,38,39,74.20418242,84.79352417,6.215109715,283.9338466,rice
74,54,38,78.1799623,83.47021081,7.120272972,217.3788583,rice
91,36,45,75.99821859,82.45432595,5.950647577000001,267.97619480000003,rice
71,46,40,68.50434866,82.1235421,7.236705436,191.9535738,rice
99,55,35,71.10289634,80.2389895,6.501697816,277.9626192,rice
72,40,38,68.74604652,82.20802629,7.592490617,245.1511304,rice
83,58,45,78.35951502,83.51827127,5.875345751,245.6626799,rice
93,58,38,69.10738563,83.77345559,6.932400225,279.5451717,rice
70,36,42,71.31392375,80.72886384,6.9462098810000015,202.3838319,rice
76,47,42,68.15065356,83.29114712,5.739175027000001,263.6372176,rice
99,41,36,76.02443757,82.74835604,6.738652179,182.5616319,rice
99,54,37,70.05825493,80.33502926,5.5948196260000005,198.6730942,rice
86,59,35,78.41697021,82.11124033,6.946636369,243.5120414,rice
69,46,41,74.55424678,80.28597873,5.012139669,263.1103304,rice
91,56,37,74.17744938,80.56887849,6.363472207999999,269.5039162,rice
61,52,41,76.95805132,83.891805,6.880431223,204.8001847,rice
67,45,38,72.91023874,82.17068809999998,7.300410836,260.8875056,rice
79,42,37,76.77141339,82.84022551,6.587918707999999,295.6094492000001,rice
78,43,42,70.38277389,83.00320459,7.283736617000001,192.3197536,rice
75,54,36,79.3303783,84.56919326,7.023936392,257.4914906,rice
97,36,45,72.01165676,81.85872947,6.939083505,278.0791793,rice
67,47,44,80.11530304,81.78596776,7.868474653,280.4044392,rice
73,35,38,76.80058113,81.97927117,5.005306977,185.9461429,rice
77,36,37,80.3920078,81.46033732,6.136131869,194.5766559,rice
81,41,38,72.82123009,83.72874389,7.5240800760000015,200.9133156,rice
68,57,43,78.95962175,80.37979919,5.706943251,182.9043504,rice
72,45,35,77.77359532,82.94682591,5.758506323,195.3574542,rice
61,53,43,79.5258183,81.05635517,6.349606327,223.3671883,rice
67,43,39,78.87869541,84.96907151,5.9999690260000005,186.7536773,rice
67,58,39,77.50890014,80.54372813,5.453592032,220.1156708,rice
66,60,38,71.75437812,83.47038318,6.372576327000001,231.7364957,rice
82,43,38,73.91510911,81.43321641,5.105588355,242.3170629,rice
84,50,44,77.87465575,81.40633547,5.9353444060000005,182.6549356,rice
81,53,42,74.61635707,81.03569343,5.17782304,233.7034975,rice
91,50,40,69.48458796,84.1341879,6.462391607000001,230.22422230000004,rice
93,53,38,80.47391139,81.91411159,7.069172227,290.67937830000005,rice
90,44,38,74.90317105,83.88387074,7.473134377,241.20135130000003,rice
81,45,35,79.75171071,80.12267476,6.158376967000001,218.9163567,rice
78,40,38,79.6357096,83.85642678,7.549873681,248.2256491,rice
60,51,36,72.85384029,82.81088865,6.028321557999999,256.9964761,rice
88,46,42,72.82974306,83.46358271,6.604993475,194.2651719,rice
93,47,37,70.76023417,82.14004101,6.500343222000001,295.9248796,rice
60,55,45,70.53558384,83.32931909999998,5.935745417000001,287.5766935000001,rice
78,35,44,79.77826553,84.67353597,7.072655622,183.6222657,rice
65,37,40,74.0462977,83.59512273,5.333322606,188.413665,rice
71,54,16,72.70447915,63.69070564,5.7499144210000015,87.75953857,maize
61,44,17,78.9803316,71.57476937,6.931756557999999,102.2662445,maize
80,43,16,74.40587769,71.59351368,6.657964753,66.71995467,maize
