State ,City,Location,Month,Nitrogen,Phosphorous,Potassium,Temperature,Humidity,Ph,RainFall,CropType
New York,New York,40°40′N 73°56′W / 40.66°N 73.94°W,January,80,50,44,61.77768706,70,4,146.8,grapes
California,Los Angeles,34°01′N 118°25′W / 34.02°N 118.41°W,January,80,85,82,59.32253725,68,8,118.1,chickpea
Illinois,Chicago,41°50′N 87°41′W / 41.84°N 87.68°W,January,74,50,73,56.59341347,85,7,132.5,pomegranate
Texas,Houston,29°47′N 95°23′W / 29.79°N 95.39°W,January,86,56,47,70.57621453,72,7,139.1,mungbean
Arizona,Phoenix,33°34′N 112°05′W / 33.57°N 112.09°W,January,88,72,57,76.06130826,79,4,85,kidneybeans
Pennsylvania,Philadelphia,40°01′N 75°08′W / 40.01°N 75.13°W,January,91,74,79,61.92053266,77,8,107.1,jute
Texas,San Antonio,29°28′N 98°31′W / 29.46°N 98.52°W,January,69,80,68,79.86933168,76,6,72.8,jute
California,San Diego,32°49′N 117°08′W / 32.81°N 117.14°W,January,77,77,66,62.3881933,76,4,63.8,papaya
Texas,Dallas,32°47′N 96°46′W / 32.79°N 96.77°W,January,90,60,66,75.81699631,82,8,55.1,lentil
California,San Jose,37°18′N 121°49′W / 37.30°N 121.81°W,January,87,84,67,58.13037435,83,5,90.6,mothbeans
Texas,Austin,30°18′N 97°45′W / 30.30°N 97.75°W,January,79,84,41,68.50421741,83,7,55.3,muskmelon
Florida,Jacksonville,30°20′N 81°40′W / 30.34°N 81.66°W,January,81,56,84,61.59713683,79,3,81.5,banana
Texas,Fort Worth,32°47′N 97°21′W / 32.78°N 97.35°W,January,74,63,72,78.16175741,75,5,102.7,kidneybeans
Ohio,Columbus,39°59′N 82°59′W / 39.99°N 82.99°W,January,68,58,79,70.62626831,66,5,47.4,mango
Indiana,Indianapolis,39°47′N 86°09′W / 39.78°N 86.15°W,January,67,41,78,65.05163383,80,6,109.6,watermelon
North Carolina,Charlotte,35°13′N 80°50′W / 35.21°N 80.83°W,January,76,59,59,45.07985652,75,4,136.5,pigeonpeas
California,San Francisco,37°44′N 123°02′W / 37.73°N 123.03°W,January,67,78,52,79.92483199,82,4,54.4,muskmelon
Washington,Seattle,47°37′N 122°21′W / 47.62°N 122.35°W,January,92,57,41,58.49683667,67,7,88.4,grapes
Colorado,Denver,39°46′N 104°53′W / 39.76°N 104.88°W,January,93,50,79,74.64210963,70,8,93.9,watermelon
Oklahoma,Oklahoma City,35°28′N 97°31′W / 35.47°N 97.51°W,January,71,76,82,71.9138999,73,6,145.6,cotton
Tennessee,Nashville,36°10′N 86°47′W / 36.17°N 86.79°W,January,77,84,49,59.31734446,66,4,80.9,watermelon
Texas,El Paso,31°51′N 106°26′W / 31.85°N 106.43°W,January,76,57,62,50.17070499,79,3,144.3,mango
District of Columbia,Washington,38°54′N 77°01′W / 38.90°N 77.02°W,January,66,50,60,63.48239519,70,8,71.9,pigeonpeas
Massachusetts,Boston,42°20′N 71°01′W / 42.34°N 71.02°W,January,86,41,80,79.93296718,68,5,109.6,pomegranate
Nevada,Las Vegas,36°14′N 115°16′W / 36.23°N 115.26°W,January,88,46,83,71.05576764,71,4,85.7,kidneybeans
Oregon,Portland,45°32′N 122°39′W / 45.54°N 122.65°W,January,73,76,71,61.13036282,80,3,114.6,jute
Michigan,Detroit,42°23′N 83°06′W / 42.38°N 83.10°W,January,71,60,43,61.00399242,74,5,104.6,blackgram
Kentucky,Louisville,38°10′N 85°39′W / 38.17°N 85.65°W,January,70,78,67,67.81795161,84,4,95.7,watermelon
Tennessee,Memphis,35°07′N 89°58′W / 35.11°N 89.97°W,January,79,49,83,46.3067179,73,8,56.4,mungbean
Maryland,Baltimore,39°18′N 76°37′W / 39.30°N 76.61°W,January,74,50,48,74.73005629,85,4,47.4,chickpea
Wisconsin,Milwaukee,43°04′N 87°58′W / 43.06°N 87.97°W,January,68,44,59,56.23847582,74,7,135.9,rice
New Mexico,Albuquerque,35°06′N 106°39′W / 35.10°N 106.65°W,January,72,77,57,72.46426442,82,6,86.4,blackgram
California,Fresno,36°47′N 119°47′W / 36.78°N 119.79°W,January,68,77,56,64.14331664,78,6,71,mango
Arizona,Tucson,32°09′N 110°52′W / 32.15°N 110.87°W,January,83,68,59,74.75203637,72,8,143.1,kidneybeans
California,Sacramento,38°34′N 121°28′W / 38.57°N 121.47°W,January,84,41,54,75.07797195,82,4,107.7,mungbean
Arizona,Mesa,33°24′N 111°43′W / 33.40°N 111.72°W,January,73,76,57,55.41584917,66,4,49.9,jute
Missouri,Kansas City,39°07′N 94°34′W / 39.12°N 94.56°W,January,71,67,84,69.86323213,66,3,75.1,lentil
Georgia,Atlanta,33°46′N 84°25′W / 33.76°N 84.42°W,January,71,44,44,51.78141372,76,8,109,apple
Nebraska,Omaha,41°16′N 96°03′W / 41.26°N 96.05°W,January,73,63,55,70.15267586,80,3,55.7,kidneybeans
Colorado,Colorado Springs,38°52′N 104°46′W / 38.87°N 104.76°W,January,74,68,60,46.86506829,83,6,87.8,kidneybeans
North Carolina,Raleigh,35°50′N 78°38′W / 35.83°N 78.64°W,January,81,49,57,69.04853175,85,5,46.8,mango
Virginia,Virginia Beach,36°47′N 76°02′W / 36.78°N 76.03°W,January,76,54,85,78.297323,80,3,44.4,pomegranate
California,Long Beach,33°47′N 118°10′W / 33.78°N 118.17°W,January,65,72,41,59.73424682,85,3,80.2,pomegranate
Florida,Miami,25°47′N 80°13′W / 25.78°N 80.21°W,January,80,51,56,65.3796055,79,5,121.8,maize
California,Oakland,37°46′N 122°14′W / 37.77°N 122.23°W,January,69,43,80,55.42469336,74,5,105.7,blackgram
Minnesota,Minneapolis,44°58′N 93°16′W / 44.96°N 93.27°W,January,83,68,82,76.30230255,68,7,64.7,mothbeans
Oklahoma,Tulsa,36°08′N 95°54′W / 36.13°N 95.90°W,January,90,74,74,46.5190945,75,3,141.9,grapes
California,Bakersfield,35°21′N 119°02′W / 35.35°N 119.04°W,January,73,52,59,79.95005245,73,7,97.9,orange
Kansas,Wichita,37°41′N 97°21′W / 37.69°N 97.35°W,January,68,45,52,67.18766129,78,6,51.2,watermelon
Texas,Arlington,32°42′N 97°07′W / 32.70°N 97.12°W,January,91,76,72,61.79772072,71,5,52.7,orange
Colorado,Aurora,39°42′N 104°43′W / 39.70°N 104.72°W,January,71,78,75,60.7081941,76,5,88.2,maize
Florida,Tampa,27°58′N 82°28′W / 27.97°N 82.47°W,January,79,44,41,79.37196225,71,4,107,pigeonpeas
Louisiana,New Orleans,30°03′N 89°56′W / 30.05°N 89.93°W,January,78,72,68,52.30080629,67,7,136.4,orange
Ohio,Cleveland,41°29′N 81°41′W / 41.48°N 81.68°W,January,93,59,85,66.90573632,79,6,128.9,maize
California,Anaheim,33°52′N 117°46′W / 33.86°N 117.76°W,January,65,50,68,47.66207658,84,4,41.2,watermelon
Hawaii,Honolulu,21°19′N 157°51′W / 21.32°N 157.85°W,January,88,52,74,73.07986401,80,5,116.2,grapes
Nevada,Henderson,36°01′N 115°02′W / 36.01°N 115.04°W,January,92,64,41,70.42405327,65,7,97.7,chickpea
California,Stockton,37°59′N 121°19′W / 37.98°N 121.31°W,January,71,67,60,63.93696603,72,4,129.4,grapes
Kentucky,Lexington,38°02′N 84°28′W / 38.04°N 84.46°W,January,76,58,68,55.25104189,74,4,131.8,pigeonpeas
Texas,Corpus Christi,27°45′N 97°10′W / 27.75°N 97.17°W,January,72,45,49,76.65956626,77,5,75.4,mungbean
California,Riverside,33°56′N 117°23′W / 33.94°N 117.39°W,January,66,50,74,61.76600258,72,5,109.9,cotton
California,Santa Ana,33°44′N 117°53′W / 33.74°N 117.88°W,January,72,76,65,53.30611644,73,3,46,blackgram
Florida,Orlando,28°25′N 81°15′W / 28.41°N 81.25°W,January,75,49,85,49.65196903,81,5,64.4,blackgram
California,Irvine,33°41′N 117°46′W / 33.68°N 117.77°W,January,90,85,54,73.59006719,80,7,94.1,watermelon
Ohio,Cincinnati,39°08′N 84°31′W / 39.14°N 84.51°W,January,70,61,41,54.65727091,69,6,122.1,watermelon
New Jersey,Newark,40°43′N 74°10′W / 40.72°N 74.17°W,January,80,73,51,69.97159235,83,7,143.5,grapes
Minnesota,Saint Paul,44°57′N 93°06′W / 44.95°N 93.10°W,January,75,54,81,65.26010892,82,3,131.7,rice
Pennsylvania,Pittsburgh,40°26′N 79°59′W / 40.44°N 79.98°W,January,73,79,54,69.816961,81,7,101.8,muskmelon
North Carolina,Greensboro,36°06′N 79°50′W / 36.10°N 79.83°W,January,66,79,46,76.00182732,76,4,134.4,blackgram
Missouri,St. Louis,38°38′N 90°14′W / 38.64°N 90.24°W,January,67,83,66,77.39349407,82,3,133.8,cotton
Nebraska,Lincoln,40°49′N 96°41′W / 40.81°N 96.68°W,January,81,76,41,77.8662314,75,3,60.2,jute
Texas,Plano,33°03′N 96°45′W / 33.05°N 96.75°W,January,70,60,43,68.11236136,67,7,110.4,banana
Alaska,Anchorage,61°10′N 149°17′W / 61.17°N 149.28°W,January,66,73,45,57.81809904,80,7,97.7,pomegranate
North Carolina,Durham,35°59′N 78°54′W / 35.98°N 78.90°W,January,92,46,59,56.45866019,75,8,110.4,mothbeans
New Jersey,Jersey City,40°43′N 74°04′W / 40.71°N 74.06°W,January,81,48,80,53.19733627,69,7,134.3,jute
Arizona,Chandler,33°17′N 111°51′W / 33.28°N 111.85°W,January,90,58,44,78.68426473,71,8,82.7,chickpea
California,Chula Vista,32°38′N 117°01′W / 32.63°N 117.02°W,January,88,41,81,64.10450426,76,6,131.2,muskmelon
New York,Buffalo,42°53′N 78°52′W / 42.89°N 78.86°W,January,71,70,62,79.73890377,76,5,55.3,chickpea
Nevada,North Las Vegas,36°17′N 115°05′W / 36.28°N 115.09°W,January,82,72,61,66.23595518,81,3,146.2,banana
Arizona,Gilbert,33°19′N 111°44′W / 33.31°N 111.74°W,January,72,82,82,57.3502628,79,4,81.9,chickpea
Wisconsin,Madison,43°05′N 89°26′W / 43.09°N 89.43°W,January,91,76,52,45.56414506,78,8,136.2,pomegranate
Nevada,Reno,39°33′N 119°51′W / 39.55°N 119.85°W,January,88,66,45,59.01197728,81,4,97,banana
Ohio,Toledo,41°40′N 83°35′W / 41.66°N 83.58°W,January,78,42,51,64.23765812,66,4,49.7,mothbeans
Indiana,Fort Wayne,41°05′N 85°08′W / 41.09°N 85.14°W,January,80,53,49,68.8543063,80,6,77.8,blackgram
Texas,Lubbock,33°34′N 101°53′W / 33.57°N 101.89°W,January,69,53,73,46.86228415,82,3,40,jute
Florida,St. Petersburg,27°46′N 82°38′W / 27.77°N 82.64°W,January,79,53,42,72.60732937,72,8,115.2,orange
Texas,Laredo,27°34′N 99°29′W / 27.56°N 99.49°W,January,75,82,51,74.09138272,77,8,95.8,maize
Texas,Irving,32°52′N 96°58′W / 32.86°N 96.97°W,January,84,82,42,45.08460916,78,3,84.7,blackgram
Virginia,Chesapeake,36°41′N 76°18′W / 36.68°N 76.30°W,January,73,64,56,75.84750057,78,8,119.4,muskmelon
North Carolina,Winston–Salem,36°06′N 80°16′W / 36.10°N 80.26°W,January,76,50,68,61.25984153,70,7,73.1,blackgram
Arizona,Glendale,33°32′N 112°11′W / 33.53°N 112.19°W,January,66,41,74,72.04818861,85,6,77.6,watermelon
Arizona,Scottsdale,33°41′N 111°52′W / 33.68°N 111.86°W,January,73,58,75,67.57075284,78,7,74.8,maize
Texas,Garland,32°55′N 96°38′W / 32.91°N 96.63°W,January,77,65,80,49.76908508,65,7,109.9,chickpea
Idaho,Boise,43°36′N 116°14′W / 43.60°N 116.23°W,January,75,42,55,49.29697558,72,6,94.7,jute
Virginia,Norfolk,36°55′N 76°14′W / 36.92°N 76.24°W,January,75,60,57,58.27208661,67,5,116,blackgram
Washington,Spokane,47°40′N 117°26′W / 47.67°N 117.43°W,January,88,75,83,51.83322331,79,8,46.4,kidneybeans
California,Fremont,37°29′N 121°56′W / 37.49°N 121.94°W,January,85,71,42,76.59983026,85,4,101.8,lentil
Virginia,Richmond,37°32′N 77°29′W / 37.53°N 77.48°W,January,69,75,80,67.19558592,70,3,121.3,grapes
California,Santa Clarita,34°25′N 118°29′W / 34.41°N 118.49°W,January,71,52,82,69.00011249,75,4,139.1,pomegranate
California,San Bernardino,34°08′N 117°17′W / 34.14°N 117.29°W,January,85,49,52,65.07831386,80,4,86.2,papaya
Louisiana,Baton Rouge,30°26′N 91°08′W / 30.44°N 91.13°W,January,85,63,64,58.59011866,76,3,65.8,mango
Florida,Hialeah,25°52′N 80°18′W / 25.87°N 80.30°W,January,90,41,62,52.55861364,71,8,62.6,muskmelon
Washington,Tacoma,47°15′N 122°28′W / 47.25°N 122.46°W,January,88,82,62,52.99908949,66,8,111.5,rice
California,Modesto,37°38′N 121°00′W / 37.64°N 121.00°W,January,87,71,75,65.63015148,80,5,109.6,kidneybeans
Florida,Port St. Lucie,27°17′N 80°23′W / 27.28°N 80.39°W,January,72,72,82,72.75125616,71,6,51.3,apple
Alabama,Huntsville,34°47′N 86°32′W / 34.78°N 86.53°W,January,76,84,42,75.97232309,69,8,123.5,orange
Iowa,Des Moines,41°34′N 93°37′W / 41.57°N 93.61°W,January,85,48,73,47.60618937,76,8,102.7,rice
California,Moreno Valley,33°55′N 117°13′W / 33.92°N 117.21°W,January,73,56,52,60.26554738,70,8,90.5,watermelon
California,Fontana,34°07′N 117°28′W / 34.11°N 117.46°W,January,69,76,60,69.46952713,67,8,137.8,apple
Texas,Frisco,33°10′N 96°49′W / 33.16°N 96.82°W,January,69,49,46,63.61281368,84,3,118.8,chickpea
New York,Rochester,43°10′N 77°37′W / 43.17°N 77.62°W,January,85,65,50,78.82935005,75,3,45.2,grapes
New York,Yonkers,40°57′N 73°52′W / 40.95°N 73.87°W,January,70,42,69,58.58785087,81,4,148.9,rice
North Carolina,Fayetteville,35°05′N 78°58′W / 35.08°N 78.97°W,January,88,84,77,64.68698089,71,7,125.5,cotton
Massachusetts,Worcester,42°16′N 71°49′W / 42.27°N 71.81°W,January,82,73,73,45.07965942,76,7,76.7,pomegranate
Georgia,Columbus,32°31′N 84°52′W / 32.51°N 84.87°W,January,71,43,64,71.21803046,70,8,116,chickpea
Florida,Cape Coral,26°39′N 81°59′W / 26.65°N 81.99°W,January,82,59,61,49.52612369,84,4,138.3,banana
Texas,McKinney,33°12′N 96°40′W / 33.20°N 96.66°W,January,77,51,47,55.33287692,84,6,55.4,rice
Arkansas,Little Rock,34°43′N 92°22′W / 34.72°N 92.36°W,January,81,43,54,68.98453085,75,8,142.1,lentil
California,Oxnard,34°12′N 119°13′W / 34.20°N 119.21°W,January,68,54,46,52.3817001,82,6,66.4,chickpea
Texas,Amarillo,35°12′N 101°50′W / 35.20°N 101.83°W,January,77,60,84,61.86305704,69,7,53.7,orange
Georgia,Augusta,33°22′N 82°04′W / 33.37°N 82.07°W,January,76,65,79,78.0158893,69,6,60.5,cotton
Utah,Salt Lake City,40°47′N 111°56′W / 40.78°N 111.93°W,January,76,77,41,50.37040402,75,6,118.2,orange
Alabama,Montgomery,32°21′N 86°16′W / 32.35°N 86.27°W,January,81,60,46,61.58024673,85,4,61.2,jute
Alabama,Birmingham,33°32′N 86°48′W / 33.53°N 86.80°W,January,77,78,61,50.92298034,79,7,88.2,cotton
Michigan,Grand Rapids,42°58′N 85°40′W / 42.96°N 85.66°W,January,74,66,50,50.05921477,67,6,46.1,mango
Texas,Grand Prairie,32°41′N 97°01′W / 32.69°N 97.02°W,January,78,60,48,61.07396156,83,8,73.1,banana
Kansas,Overland Park,38°53′N 94°41′W / 38.89°N 94.69°W,January,90,55,52,56.7048083,73,7,127.8,mango
Florida,Tallahassee,30°28′N 84°15′W / 30.46°N 84.25°W,January,88,75,76,70.74476189,84,5,146,orange
California,Huntington Beach,33°42′N 118°00′W / 33.70°N 118.00°W,January,65,45,62,55.72399201,72,6,108.2,apple
South Dakota,Sioux Falls,43°32′N 96°44′W / 43.54°N 96.73°W,January,73,47,56,74.86203194,76,8,49.7,jute
Arizona,Peoria,33°47′N 112°19′W / 33.79°N 112.31°W,January,91,85,74,65.93251095,71,7,46,kidneybeans
Tennessee,Knoxville,35°58′N 83°57′W / 35.97°N 83.95°W,January,79,47,63,51.9814504,70,4,116.9,blackgram
California,Glendale,34°11′N 118°15′W / 34.18°N 118.25°W,January,69,54,46,55.97196769,76,4,108.5,kidneybeans
Washington,Vancouver,45°38′N 122°36′W / 45.64°N 122.60°W,January,67,75,51,69.83360895,73,5,148.9,watermelon
Rhode Island,Providence,41°49′N 71°25′W / 41.82°N 71.42°W,January,92,46,75,67.80987693,71,6,57.9,cotton
Ohio,Akron,41°05′N 81°31′W / 41.08°N 81.52°W,January,78,69,49,76.21900161,67,3,89.6,chickpea
Texas,Brownsville,26°00′N 97°27′W / 26.00°N 97.45°W,January,83,77,43,55.51173536,65,8,46.9,lentil
Alabama,Mobile,30°40′N 88°06′W / 30.67°N 88.10°W,January,66,67,69,65.36875442,74,8,129.5,watermelon
Virginia,Newport News,37°05′N 76°31′W / 37.08°N 76.52°W,January,84,42,58,55.6881414,70,4,101,blackgram
Arizona,Tempe,33°23′N 111°56′W / 33.39°N 111.93°W,January,90,49,74,46.19491028,66,4,123.2,blackgram
Louisiana,Shreveport,32°28′N 93°47′W / 32.47°N 93.79°W,January,77,73,83,56.13161384,74,5,147,kidneybeans
Tennessee,Chattanooga,35°04′N 85°15′W / 35.07°N 85.25°W,January,81,72,76,54.83320895,76,4,103.1,banana
Florida,Fort Lauderdale,26°08′N 80°09′W / 26.14°N 80.15°W,January,68,64,46,64.8854082,66,3,64.9,pomegranate
Illinois,Aurora,41°46′N 88°17′W / 41.76°N 88.29°W,January,80,81,50,63.08404048,75,4,77.7,pigeonpeas
California,Elk Grove,38°25′N 121°23′W / 38.41°N 121.38°W,January,88,62,41,58.85355493,68,3,102.3,jute
California,Ontario,34°02′N 117°36′W / 34.04°N 117.60°W,January,75,68,63,75.47147151,74,7,70.7,watermelon
Oregon,Salem,44°55′N 123°01′W / 44.92°N 123.02°W,January,77,44,57,48.01924632,82,4,53.6,watermelon
North Carolina,Cary,35°47′N 78°49′W / 35.78°N 78.82°W,January,84,72,40,59.58428168,79,8,143.9,jute
California,Santa Rosa,38°27′N 122°43′W / 38.45°N 122.71°W,January,88,62,40,67.78507011,70,5,70.2,kidneybeans
California,Rancho Cucamonga,34°07′N 117°34′W / 34.12°N 117.56°W,January,86,40,48,69.12540263,81,5,64.1,mothbeans
Oregon,Eugene,44°04′N 123°07′W / 44.06°N 123.12°W,January,82,83,51,71.8869282,70,6,53.3,pigeonpeas
California,Oceanside,33°13′N 117°19′W / 33.22°N 117.31°W,January,88,61,61,70.88990216,84,5,112.2,chickpea
Tennessee,Clarksville,36°34′N 87°21′W / 36.57°N 87.35°W,January,81,55,49,63.55392179,70,7,104.9,orange
California,Garden Grove,33°47′N 117°58′W / 33.78°N 117.96°W,January,78,47,67,55.46842887,74,6,52.7,pomegranate
California,Lancaster,34°41′N 118°11′W / 34.69°N 118.18°W,January,83,59,54,45.04404755,71,5,80.4,maize
Missouri,Springfield,37°11′N 93°17′W / 37.19°N 93.29°W,January,87,77,67,73.48445712,70,6,149.5,mungbean
Florida,Pembroke Pines,26°01′N 80°20′W / 26.01°N 80.34°W,January,75,74,75,70.52188402,82,6,114.5,kidneybeans
Colorado,Fort Collins,40°33′N 105°04′W / 40.55°N 105.06°W,January,86,53,50,59.63189305,80,3,106.8,mungbean
California,Palmdale,34°35′N 118°07′W / 34.59°N 118.11°W,January,89,43,71,62.12649223,85,3,138.5,muskmelon
California,Salinas,36°41′N 121°38′W / 36.69°N 121.63°W,January,76,79,42,69.84874891,77,4,116.5,apple
California,Hayward,37°38′N 122°06′W / 37.63°N 122.10°W,January,68,74,54,62.44783506,80,3,133,grapes
California,Corona,33°52′N 117°34′W / 33.86°N 117.57°W,January,91,52,48,72.33850364,70,8,68,maize
New Jersey,Paterson,40°55′N 74°10′W / 40.91°N 74.16°W,January,79,51,81,48.08891448,82,4,50,rice
Tennessee,Murfreesboro,35°51′N 86°25′W / 35.85°N 86.42°W,January,83,74,69,74.57297761,72,8,125.3,kidneybeans
